,pretty_comp,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
0,YbO,1.66467211997,-2.27656425777,-130.592364647,-74.3512023908,-1539.09318056,526.703198676,-69733.5078163,-1545.43372628,-226647.263414,-40257.816523,-64606.7849747,11515.7986104,-111265.701658,126.596291705,-178310.261282,1070.44429361,-24350.4807203,-1.31792866996,-11339.4817289,29.2946544533,-3649.15587066,-839.775911979,-821.651184924,16.0416561574,-252.741905602,3.87167147462,-41.7508370966,-6.35718772277,-3.83434824333,2.83372902882,-7.10622645297,5.5202569773
1,EuO,1.77038494382,-2.4007913266,-130.905761672,-74.7011922279,-1539.5026943,527.513645249,-68768.8353206,-464.083184322,-226676.355482,-40278.0765442,-64611.6546681,33627.606227,-111265.992929,424.811439241,-178310.256959,109.604605655,-24350.4826866,-1.76903937999,-11335.8005518,75.7073168369,-3649.17176499,-839.806570771,-821.651761226,40.3677581917,-252.742027324,9.45614575964,-41.7508497373,-6.35720672541,-3.65392261919,3.33324091061,-7.73855407624,6.08267708067
2,CaO,2.06800619194,-2.20930062946,-131.701794787,-76.4515211074,-1537.77044018,528.376721936,-68795.2044888,-633.522051589,-226675.508079,-40277.4864041,-64611.5128226,32983.5284149,-111265.984445,416.124946425,-178310.272861,3054.91051484,-24350.4834153,-1.93620728464,-11334.4364203,92.9064398864,-3649.17675246,-839.81619116,-821.651942064,48.0010204569,-252.74206552,11.208492952,-41.750853874,-6.35721294408,-3.5776992407,3.49729702749,-7.86751512582,6.19738073138
3,LiF,0.574968558494,-1.43978871677,-134.995531109,-72.3806736485,-1532.80770198,537.39974892,-69150.6126447,-892.258632903,-226655.462441,-40263.5264118,-64608.157402,17747.5768327,-111265.783747,210.64236811,-178310.264643,1646.50677605,-24350.4815026,-1.49740622703,-11338.0171471,47.7602566388,-3649.16289141,-839.789454398,-821.651439485,26.7868357679,-252.741959368,6.33841193124,-41.7508673887,-6.35723324242,-3.84800391888,3.26373791262,-7.48512889878,5.85726953993
4,EuF,2.83018088195,-2.39773054744,-125.257790816,-84.9815222117,-1539.37466179,529.960136501,-68288.729937,-18.1133076244,-226667.98122,-40272.2446208,-64610.2529084,27262.6386162,-111265.909086,338.969080694,-178310.269562,2489.41900528,-24350.4826473,-1.76002322062,-11335.8741259,74.7796866013,-3649.16774753,-839.79882143,-821.65161556,34.2190730336,-252.741996558,8.04460940109,-41.7508733803,-6.35724224679,-3.85178181845,3.3816849226,-7.62561699839,5.98222585782
5,ScO,1.36765468367,-1.13019786199,-106.542617269,-69.9345947883,-1539.17767303,529.517405753,-69018.3232657,-733.327175611,-226662.561934,-40268.470573,-64609.3457792,23143.6386643,-111265.854827,283.417379298,-178310.267554,2145.31566301,-24350.48218,-1.65281469513,-11336.7489746,63.7495055178,-3649.16477582,-839.793089259,-821.65150781,29.6709031638,-252.7419738,7.00049922144,-41.7508442862,-6.35719853084,-3.75436519345,3.11708032677,-7.54596780572,5.9113823496
6,LaO,2.28515846032,-2.45275276721,-113.094669454,-75.323794407,-1539.22641606,529.278697057,-69462.5875293,-1116.70532355,-226654.514243,-40262.8660766,-64607.9986839,17026.8857766,-111265.774254,200.922627266,-178310.264255,1579.88652807,-24350.4814122,-1.4766500327,-11338.1865229,45.6247503921,-3649.15976955,-839.783432606,-821.651326291,22.0088685459,-252.741935461,5.24154753747,-41.7508638521,-6.35722792758,-3.84585038782,3.19645250888,-7.4068554442,5.78764967391
7,GdO,2.33218490278,-2.28581433546,-113.554455886,-75.608227604,-1536.9127845,533.012862252,-69153.3007243,-777.729204882,-226661.323382,-40267.6080323,-64609.138459,22202.2602154,-111265.842427,270.721311628,-178310.267046,2058.29537332,-24350.4820619,-1.62570273174,-11336.9702154,60.9600814172,-3649.16381696,-839.791239703,-821.651473044,28.20337966,-252.741966456,6.66360416777,-41.7508434162,-6.35719722305,-3.77039523667,3.08260430088,-7.49319420782,5.86444318185
8,DyO,2.31701006449,-2.15821284264,-104.8728192,-77.7669868624,-1539.65706061,528.641902514,-69095.6730384,-749.449949242,-226663.513423,-40269.1331998,-64609.5050479,23866.8297192,-111265.864354,293.170846766,-178310.267944,2212.16734404,-24350.4822708,-1.67364291858,-11336.5790113,65.8924237126,-3649.16883485,-839.800918778,-821.651654984,35.8832041177,-252.742004885,8.42663961097,-41.7508473191,-6.35720309021,-3.69847990214,3.23733991786,-7.66316931619,6.01562654709
9,YbF,2.86106566364,-2.32756719887,-122.185848269,-83.8377620751,-1539.52450046,528.85829632,-68988.2249329,-693.536645769,-226658.032579,-40265.3162822,-64608.5876147,19701.0426806,-111265.809479,236.98815651,-178310.256717,89.7031403978,-24350.4815309,-1.50389205198,-11337.9642208,48.4275533657,-3649.16257631,-839.788846599,-821.65142806,26.3045817629,-252.741956955,6.22770237852,-41.7508425681,-6.35719594813,-3.78602245547,3.0489948229,-7.44174800168,5.81868465492
