,element,group_id,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
0,H,1,-3.86419666728,-0.284834286487,13.2545480117,-91.268992677,-140.376946353,-228.42823527,1006.71568041,3043.99025831,222781.538541,26762.426541,64165.7482764,-0.759757931214,110518.631861,-2.48720998599,185593.156909,-3.59457817445,25344.10993,-3.70720298143,11798.929281,-17.9934335254,5710.45058017,-117.375347321,852.798354468,-0.00799764839596,262.345236008,-0.0125821760859,54.0415508694,-0.248836348856,4.10346868798,-0.278452551863,-1.53828591039,0.531143480949
1,Li,1,-0.634767413313,2.88181023682,-34.0670870677,23.1804352872,-379.436080949,-119.94672127,-47162.9924784,-5488.28333662,-64101.7100741,3584.66087445,-18899.2077589,-2.55422195463,-32553.8837654,-8.31796077638,-51910.1544034,-13.5947090789,-7088.64862112,-14.0258265635,-3307.08139699,-52.8448538562,-939.536797149,-388.856286419,-238.598286083,-0.0302568824162,-73.3996241992,-0.0476019610641,-13.8767808828,-0.829659088476,-1.15206348074,-0.042114185142,0.306405940193,-0.196636676689
2,Be,2,-3.96360242244,0.484251181089,86.7819124702,-9.65364096082,-323.612329904,-201.151856534,-46397.6201437,-5051.94857236,-59160.9143987,5350.86503947,-17555.6147417,-2.52519612416,-30239.6559477,-8.22364391552,-48672.6202266,-13.4583919665,-6646.54042817,-13.8851679138,-3101.16333597,-52.3697736301,-849.398142884,-385.176440862,-223.804722243,-0.0299551649771,-68.8487004891,-0.04712727928,-12.9627400932,-0.821842411272,-1.09507589542,-0.274281253724,0.0821635511745,-0.239561035672
3,B,13,-5.42359512986,0.141713997015,301.792544972,-120.242776903,-124.76397495,-20.4437960261,-46774.4653387,-4373.73174301,-64282.1385294,3633.85279895,-18952.2602492,-2.5553680551,-32645.2623088,-8.32169608018,-52251.9991297,-13.6091025288,-7135.32995421,-14.0406784332,-3328.82388849,-52.8950165874,-950.000603729,-389.283463777,-240.315607478,-0.0302919075001,-73.9279213949,-0.0476570651075,-13.9903240606,-0.830630084934,-1.16227806371,0.0116096912407,0.353023836781,-0.187713103689
4,C,14,-6.39022629101,-1.57292243445,267.464616945,-209.92706233,13648.3056152,-571.682331826,2296740.64788,-17730.4614114,-71211.5321415,5523.07923423,-20989.7596691,-2.2495291745,-36142.7123396,-4.56383234051,-57969.9524168,-9.943730263,-7917.16309347,-10.356146227,-3691.05182138,-39.3656537546,-1110.13983222,-395.821032297,-266.597684967,0.515070539839,-82.0139748537,0.810338844671,-15.771111317,-0.875643065231,-1.78712502405,4.6424193509,5.33267898727,0.765489839908
5,N,15,-6.28299190751,0.510783329129,-248.318738295,-186.491853495,1834.43565119,-472.430655246,175787.817162,87942.3279524,67011.7585531,-48560.1011127,21382.4318801,-1.68401198178,36827.9079034,-5.49027477349,61230.7038947,-8.83088752469,8361.53657089,-9.11028276175,3889.05829541,-36.242442305,2230.03978337,-259.460608232,281.592910251,-0.0196474878623,86.6260910222,-0.030910455221,18.4915752246,-0.552851976371,1.47404227464,-0.734652579575,-1.2397851568,0.225961446931
6,O,16,-2.59926646348,-1.11770233755,-256.471158747,-58.7226338965,-168.115774214,-735.490649218,-28998.3052372,895.278327274,92250.3160879,36165.0362457,26021.3146915,-1.58379753863,44818.0005085,-5.16472039678,67870.6960763,-8.5513091447,9268.27285311,-8.82180065901,4311.38324681,-35.2680846841,-1227.38281516,2451.84617782,311.979262783,-0.0190277526469,95.9738048903,-0.0299354807463,20.520200778,-0.535503613696,1.62408793937,-0.708619968028,-1.25478837771,0.243967696952
7,F,17,-0.747410368734,-1.57752255438,-267.896916795,-37.802233565,-466.650236801,-757.805435118,-49188.1446183,-7222.32857244,-71211.5366671,5523.08209481,-20990.2322305,180.901852845,-36057.1009266,581.083420436,-57969.9929362,952.456157741,-7917.47875416,981.861509837,-3233.24152291,3774.32883292,-1110.13983222,-395.821032297,-266.597684967,0.515070539839,-82.0139748537,0.810338844671,-15.771111317,-0.875643065231,-1.78712502405,4.6424193509,5.33267898727,0.765489839908
8,Na,1,0.18377876395,6.92897626302,22.9482621635,-0.613991059836,-365.913956449,-93.4573582701,-47577.0444037,-5772.96429896,-65702.8103597,4021.18406168,-19369.9905957,-2.56439234301,-33364.7682817,-8.35101143177,-53405.8580154,-13.6576860194,-7292.89757319,-14.0908092584,-3402.21319273,-53.0643381631,-1114.413174,-292.027568825,-245.509355951,-0.0303978349497,-75.5256674629,-0.0478237191128,-15.6414036298,-0.710792773519,-1.1811974602,0.189855952977,0.514376068817,-0.156827145146
9,Mg,2,-0.495622695677,1.11283899569,-17.7344021332,41.0563095683,-322.369107532,169.281772778,-46689.8344751,-5150.48548909,-62191.9587006,3481.60739818,-18353.1181594,-2.54242470358,-31613.2896241,-8.27962878262,-50850.2525489,-13.5500816704,-6943.91150687,-13.9797778194,-3239.66806398,-52.6893234847,-1116.80439122,-233.948264597,-233.709049634,-0.030157165545,-71.8955551353,-0.0474450768318,-13.5636129192,-0.826980944448,-1.13107706972,-0.133256651769,0.220831697385,-0.213017252788
10,Al,13,-3.02883180648,-2.06502406495,32.9925721002,-45.6152692089,-344.601821589,-358.495284912,-46875.1230863,-4989.14537785,-62711.8965856,3205.74281473,-18490.5510207,-2.54539368517,-31850.0063564,-8.2892719889,-51384.0870211,-13.5725588922,-7016.81042896,-14.0029709294,-3273.62175838,-52.7676598726,-1113.40096887,-313.355766719,-236.635006359,-0.0302168409673,-72.7956633698,-0.0475389670233,-13.7612554482,-0.828671140191,-1.1429187917,-0.0868700154446,0.266443267289,-0.204286310307
11,Si,14,-5.06146693472,-3.31890384075,96.3191760099,-107.950365843,244.894325713,-133.968909076,-28368.646458,2461.19649461,-71211.5321415,5523.07923423,-20989.7596691,-2.2495291745,-36142.7123396,-4.56383234051,-57969.9524985,-8.01982672336,-7917.1638839,-7.89027106284,-3689.60172965,-29.0012854629,-1110.13983222,-395.821032297,-266.597684967,0.515070539839,-82.0139748537,0.810338844671,-15.7311222452,-0.875064323875,-1.8065857656,4.69676767686,5.34298541855,0.767462691509
